sl_no,item_code,baan_company,item_name,item_description,features,image,dimensions,ware_house,consumer_basic,ed,pkg,total,item_color,item_category,item_category_code,price_date,created_by,created_date,created_time,timestamp_value,remarks,status
623,STO18TD2XXX,241,KD Optimizer 18 TD2-Twin Mobile Drive Unit 2 Bay,KD Optimizer 18 TD2-Twin Mobile Drive Unit 2 Bay,,KD_Optimizer18_img9.jpg,TD2(915 mm W x 457mm D x 1980mm H),F53,69140,7087,,76227,,Storage,CAT103,18-07-2015,Suresh,21-03-2016,3:13 PM,21-03-2016 15:14,,1
624,STO18SD3XXX,241,KD Optimizer 18 SD3-Single Static Drive Cover Unit  3 Bay,KD Optimizer 18 SD3-Single Static Drive Cover Unit  3 Bay,,KD_Optimizer18_img10.jpg,SD3(915 mm W x 457mm D x 1980mm H),F53,52242,5355,,57596,,Storage,CAT103,18-07-2015,Suresh,21-03-2016,3:13 PM,21-03-2016 15:14,,1
625,STO18LD3XXX,241,KD Optimizer 18 LD3-Single Last Drive Unit 3 Bay,KD Optimizer 18 LD3-Single Last Drive Unit 3 Bay,,KD_Optimizer18_img11.jpg,LD3(915 mm W x 457mm D x 1980mm H),F53,62932,6451,,69383,,Storage,CAT103,18-07-2015,Suresh,21-03-2016,3:13 PM,21-03-2016 15:14,,1
626,STO18TD3XXX,241,KD Optimizer 18 TD3-Twin Mobile Drive Unit 3 Bay,KD Optimizer 18 TD3-Twin Mobile Drive Unit 3 Bay,,KD_Optimizer18_img12.jpg,TD3(915 mm W x 457mm D x 1980mm H),F53,94087,9644,,103731,,Storage,CAT103,18-07-2015,Suresh,21-03-2016,3:13 PM,21-03-2016 15:14,,1
627,STO18SD4XXX,241,KD Optimizer 18 SD4-Single Static Drive Cover Unit  4 Bay,KD Optimizer 18 SD4-Single Static Drive Cover Unit  4 Bay,,KD_Optimizer18_img13.jpg,SD4(915 mm W x 457mm D x 1980mm H),F53,68368,7008,,75376,,Storage,CAT103,18-07-2015,Suresh,21-03-2016,3:13 PM,21-03-2016 15:14,,1
628,STO18LD4XXX,241,KD Optimizer 18 LD4-Single Last Drive Unit 4 Bay,KD Optimizer 18 LD4-Single Last Drive Unit 4 Bay,,KD_Optimizer18_img14.jpg,LD4(915 mm W x 457mm D x 1980mm H),F53,87230,8941,,96171,,Storage,CAT103,18-07-2015,Suresh,21-03-2016,3:13 PM,21-03-2016 15:14,,1
629,STO18TD4XXX,241,KD Optimizer 18 TD4-Twin Mobile Drive Unit 4 Bay,KD Optimizer 18 TD4-Twin Mobile Drive Unit 4 Bay,,KD_Optimizer18_img15.jpg,TD4(915 mm W x 457mm D x 1980mm H),F53,125563,12870,,138433,,Storage,CAT103,18-07-2015,Suresh,21-03-2016,3:13 PM,21-03-2016 15:14,,1
630,STO18SD5XXX,241,KD Optimizer 18 SD5-Single Static Drive Cover Unit  5 Bay,KD Optimizer 18 SD5-Single Static Drive Cover Unit  5 Bay,,KD_Optimizer18_img16.jpg,SD5(915 mm W x 457mm D x 1980mm H),F53,85486,8762,,94248,,Storage,CAT103,18-07-2015,Suresh,21-03-2016,3:13 PM,21-03-2016 15:14,,1
631,STO18LD5XXX,241,KD Optimizer 18 LD5-Single Last Drive Unit 5 Bay,KD Optimizer 18 LD5-Single Last Drive Unit 5 Bay,,KD_Optimizer18_img17.jpg,LD5(915 mm W x 457mm D x 1980mm H),F53,108330,11104,,119434,,Storage,CAT103,18-07-2015,Suresh,21-03-2016,3:13 PM,21-03-2016 15:14,,1
632,STO18TD5XXX,241,KD Optimizer 18 TD5-Twin Mobile Drive Unit 5 Bay,KD Optimizer 18 TD5-Twin Mobile Drive Unit 5 Bay,,KD_Optimizer18_img18.jpg,TD5(915 mm W x 457mm D x 1980mm H),F53,160300,16431,,176731,,Storage,CAT103,18-07-2015,Suresh,21-03-2016,3:13 PM,21-03-2016 15:14,,1
